,title,date,type,CVE,lien,description,CVSS,EPSS,version,product,editeur,CWE,base_severity
CERTFR-2023-AVI-0259,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-0461,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0259/,"There is a use-after-free vulnerability in the Linux Kernel which can be exploited to achieve local privilege escalation. To reach the vulnerability kernel configuration flag CONFIG_TLS or CONFIG_XFRM_ESPINTCP has to be configured, but the operation does not require any privilege.

There is a use-after-free bug of icsk_ulp_data of a struct inet_connection_sock.

When CONFIG_TLS is enabled, user can install a tls context (struct tls_context) on a connected tcp socket. The context is not cleared if this socket is disconnected and reused as a listener. If a new socket is created from the listener, the context is inherited and vulnerable.

The setsockopt TCP_ULP operation does not require any privilege.

We recommend upgrading past commit 2c02d41d71f90a5168391b6a5f2954112ba2307c",7.8,0.000420000,['0'],Linux Kernel,Linux,CWE-416,HIGH
CERTFR-2023-AVI-0265,Multiples vulnérabilités dans les produits Apple,,Avis,CVE-2023-27952,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0265/,A race condition was addressed with improved locking. This issue is fixed in macOS Ventura 13.3. An app may bypass Gatekeeper checks.,,0.000560000,['unspecified'],macOS,Apple,Non disponible,LOW
CERTFR-2023-AVI-0267,Multiples vulnérabilités dans Tenable.sc,,Avis,CVE-2023-0568,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0267/,"In PHP 8.0.X before 8.0.28, 8.1.X before 8.1.16 and 8.2.X before 8.2.3, core path resolution function allocate buffer one byte too small. When resolving paths with lengths close to system MAXPATHLEN setting, this may lead to the byte after the allocated buffer being overwritten with NUL value, which might lead to unauthorized data access or modification. ",7.5,0.002640000,"['8.0.x', '8.1.x', '8.2.x']",PHP,PHP Group,CWE-131,HIGH
CERTFR-2023-AVI-0271,Multiples vulnérabilités dans les produits Qnap,,Avis,CVE-2022-42898,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0271/,"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug.""",,0.017150000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0272,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-30633,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0272/,Uncontrolled recursion in Unmarshal in encoding/xml before Go 1.17.12 and Go 1.18.4 allows an attacker to cause a panic due to stack exhaustion via unmarshalling an XML document into a Go struct which has a nested field that uses the 'any' field tag.,,0.002180000,"['0', '1.18.0-0']",encoding/xml,Go standard library,Non disponible,LOW
CERTFR-2023-AVI-0276,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-30633,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0276/,Uncontrolled recursion in Unmarshal in encoding/xml before Go 1.17.12 and Go 1.18.4 allows an attacker to cause a panic due to stack exhaustion via unmarshalling an XML document into a Go struct which has a nested field that uses the 'any' field tag.,,0.002180000,"['0', '1.18.0-0']",encoding/xml,Go standard library,Non disponible,LOW
CERTFR-2023-AVI-0277,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-22995,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0277/,"In the Linux kernel before 5.17, an error path in dwc3_qcom_acpi_register_core in drivers/usb/dwc3/dwc3-qcom.c lacks certain platform_device_put and kfree calls.",,0.000440000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0278,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0278/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0279,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2022-4269,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0279/,"A flaw was found in the Linux kernel Traffic Control (TC) subsystem. Using a specific networking configuration (redirecting egress packets to ingress using TC action ""mirred"") a local unprivileged user could trigger a CPU soft lockup (ABBA deadlock) when the transport protocol in use (TCP or SCTP) does a retransmission, resulting in a denial of service condition.",,0.000420000,['Since upstream commit 53592b3 (v4.10-rc1)'],Linux kernel (TC subsystem),n/a,CWE-833,LOW
CERTFR-2023-AVI-0282,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2018-10237,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0282/,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",,0.016000000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0286,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-0235,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0286/,node-fetch is vulnerable to Exposure of Sensitive Information to an Unauthorized Actor,8.8,0.001340000,['unspecified'],node-fetch/node-fetch,node-fetch,CWE-200,HIGH
CERTFR-2023-AVI-0287,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2021-23727,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0287/,"This affects the package celery before 5.2.2. It by default trusts the messages and metadata stored in backends (result stores). When reading task metadata from the backend, the data is deserialized. Given that an attacker can gain access to, or somehow manipulate the metadata within a celery backend, they could trigger a stored command injection vulnerability and potentially gain further access to the system.",7.5,0.005350000,['unspecified'],celery,n/a,Non disponible,HIGH
CERTFR-2023-AVI-0291,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2022-3564,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0291/,A vulnerability classified as critical was found in Linux Kernel. Affected by this vulnerability is the function l2cap_reassemble_sdu of the file net/bluetooth/l2cap_core.c of the component Bluetooth. The manipulation leads to use after free. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-211087.,5.5,0.000450000,['n/a'],Kernel,Linux,CWE-119,MEDIUM
CERTFR-2023-AVI-0292,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-22995,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0292/,"In the Linux kernel before 5.17, an error path in dwc3_qcom_acpi_register_core in drivers/usb/dwc3/dwc3-qcom.c lacks certain platform_device_put and kfree calls.",,0.000440000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0295,Vulnérabilité dans IBM WebSphere,,Avis,CVE-2023-24998,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0295/,"Apache Commons FileUpload before 1.5 does not limit the number of request parts to be processed resulting in the possibility of an attacker triggering a DoS with a malicious upload or series of uploads.




Note that, like all of the file upload limits, the
          new configuration option (FileUploadBase#setFileCountMax) is not
          enabled by default and must be explicitly configured.


",,0.016020000,"['11.0.0-M1', '10.0.0-M1', '9.0.0-M1', '8.5.0']",Apache Tomcat,Apache Software Foundation,CWE-770,LOW
CERTFR-2023-AVI-0297,Multiples vulnérabilités dans les produits Schneider Electric,,Avis,CVE-2023-1548,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0297/,"
A CWE-269: Improper Privilege Management vulnerability exists that could cause a local user to
perform a denial of service through the console server service that is part of EcoStruxure Control Expert. Affected Products: EcoStruxure Control Expert (V15.1 and above)",5.5,0.000450000,['V15.1 and above'],EcoStruxure Control Expert,Schneider Electric,CWE-269,MEDIUM
CERTFR-2023-AVI-0298,Multiples vulnérabilités dans les produits Siemens,,Avis,CVE-2022-40674,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0298/,libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.,,0.011260000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0304,Multiples vulnérabilités dans les produits Fortinet,,Avis,CVE-2022-41330,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0304/,"An improper neutralization of input during web page generation vulnerability ('Cross-site Scripting') [CWE-79] in Fortinet FortiOS version 7.2.0 through 7.2.3, version 7.0.0 through 7.0.9, version 6.4.0 through 6.4.11 and before 6.2.12 and FortiProxy version 7.2.0 through 7.2.1 and before 7.0.7 allows an unauthenticated attacker to perform an XSS attack via crafted HTTP GET requests.",8.3,0.000690000,"['7.2.0', '7.0.0', '6.4.0', '6.2.0']",FortiOS,Fortinet,CWE-79,HIGH
CERTFR-2023-AVI-0310,Multiples vulnérabilités dans les produits Juniper,,Avis,CVE-2022-25235,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0310/,"xmltok_impl.c in Expat (aka libexpat) before 2.4.5 lacks certain validation of encoding, such as checks for whether a UTF-8 character is valid in a certain context.",,0.002890000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0315,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-3640,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0315/,"A vulnerability, which was classified as critical, was found in Linux Kernel. Affected is the function l2cap_conn_del of the file net/bluetooth/l2cap_core.c of the component Bluetooth. The manipulation leads to use after free. It is recommended to apply a patch to fix this issue. The identifier of this vulnerability is VDB-211944.",5.5,0.002240000,['n/a'],Kernel,Linux,CWE-119,MEDIUM
CERTFR-2023-AVI-0317,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0317/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0318,Multiples vulnérabilités dans les produits VMware,,Avis,CVE-2023-22809,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0318/,"In Sudo before 1.9.12p2, the sudoedit (aka -e) feature mishandles extra arguments passed in the user-provided environment variables (SUDO_EDITOR, VISUAL, and EDITOR), allowing a local attacker to append arbitrary entries to the list of files to process. This can lead to privilege escalation. Affected versions are 1.8.0 through 1.9.12.p1. The problem exists because a user-specified editor may contain a ""--"" argument that defeats a protection mechanism, e.g., an EDITOR='vim -- /path/to/extra/file' value.",,0.000890000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0322,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-41716,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0322/,"Due to unsanitized NUL values, attackers may be able to maliciously set environment variables on Windows. In syscall.StartProcess and os/exec.Cmd, invalid environment variable values containing NUL values are not properly checked for. A malicious environment variable value can exploit this behavior to set a value for a different environment variable. For example, the environment variable string ""A=B\x00C=D"" sets the variables ""A=B"" and ""C=D"".",,0.000120000,"['0', '1.19.0-0']",os/exec,Go standard library,Non disponible,LOW
CERTFR-2023-AVI-0333,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0333/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0334,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2023-0386,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0334/,"A flaw was found in the Linux kernel, where unauthorized access to the execution of the setuid file with capabilities was found in the Linux kernel’s OverlayFS subsystem in how a user copies a capable file from a nosuid mount into another mount. This uid mapping bug allows a local user to escalate their privileges on the system.",,0.001880000,['Linux kernel 6.2-rc6'],Kernel,n/a,CWE-282,LOW
CERTFR-2023-AVI-0335,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0335/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0337,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-38751,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0337/,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",6.5,0.002110000,['unspecified'],SnakeYAML,snakeyaml,CWE-121,MEDIUM
CERTFR-2023-AVI-0338,Multiples vulnérabilités dans les produits Belden,,Avis,CVE-2022-40674,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0338/,libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.,,0.011260000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0344,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2022-4744,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0344/,A double-free flaw was found in the Linux kernel’s TUN/TAP device driver functionality in how a user registers the device when the register_netdevice function fails (NETDEV_REGISTER notifier). This flaw allows a local user to crash or potentially escalate their privileges on the system.,,0.000420000,['Linux kernel 5.16-rc7'],Kernel,n/a,CWE-460,LOW
CERTFR-2023-AVI-0345,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2023-1281,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0345/,"Use After Free vulnerability in Linux kernel traffic control index filter (tcindex) allows Privilege Escalation. The imperfect hash area can be updated while packets are traversing, which will cause a use-after-free when 'tcf_exts_exec()' is called with the destroyed tcf_ext. A local attacker user can use this vulnerability to elevate its privileges to root.
This issue affects Linux Kernel: from 4.14 before git commit ee059170b1f7e94e55fa6cadee544e176a6e59c2.

",7.8,0.000420000,['4.14'],Linux Kernel,Linux,CWE-416,HIGH
CERTFR-2023-AVI-0346,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2023-0386,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0346/,"A flaw was found in the Linux kernel, where unauthorized access to the execution of the setuid file with capabilities was found in the Linux kernel’s OverlayFS subsystem in how a user copies a capable file from a nosuid mount into another mount. This uid mapping bug allows a local user to escalate their privileges on the system.",,0.001880000,['Linux kernel 6.2-rc6'],Kernel,n/a,CWE-282,LOW
CERTFR-2023-AVI-0349,Multiples vulnérabilités dans Google Android,,Avis,CVE-2023-0266,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0349/,"A use after free vulnerability exists in the ALSA PCM package in the Linux Kernel. SNDRV_CTL_IOCTL_ELEM_{READ|WRITE}32 is missing locks that can be used in a use-after-free that can result in a priviledge escalation to gain ring0 access from the system user. We recommend upgrading past commit 56b88b50565cd8b946a2d00b0c83927b7ebb055e
",7.9,0.000850000,['4.14'],Linux Kernel,Linux,CWE-416,HIGH
CERTFR-2023-AVI-0357,Multiples vulnérabilités dans IBM Cognos,,Avis,CVE-2019-11358,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0357/,"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",,0.033890000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0362,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-32215,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0362/,"The llhttp parser <v14.20.1, <v16.17.1 and <v18.9.1 in the http module in Node.js does not correctly handle multi-line Transfer-Encoding headers. This can lead to HTTP Request Smuggling (HRS).",,0.005200000,"['Fixed in 14.20.1+, 16.17.1+,18.9.1+']",https://github.com/nodejs/node,n/a,CWE-444,LOW
CERTFR-2023-AVI-0363,Multiples vulnérabilités dans les produits Schneider,,Avis,CVE-2021-3711,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0363/,"In order to decrypt SM2 encrypted data an application is expected to call the API function EVP_PKEY_decrypt(). Typically an application will call this function twice. The first time, on entry, the ""out"" parameter can be NULL and, on exit, the ""outlen"" parameter is populated with the buffer size required to hold the decrypted plaintext. The application can then allocate a sufficiently sized buffer and call EVP_PKEY_decrypt() again, but this time passing a non-NULL value for the ""out"" parameter. A bug in the implementation of the SM2 decryption code means that the calculation of the buffer size required to hold the plaintext returned by the first call to EVP_PKEY_decrypt() can be smaller than the actual size required by the second call. This can lead to a buffer overflow when EVP_PKEY_decrypt() is called by the application a second time with a buffer that is too small. A malicious attacker who is able present SM2 content for decryption to an application could cause attacker chosen data to overflow the buffer by up to a maximum of 62 bytes altering the contents of other data held after the buffer, possibly changing application behaviour or causing the application to crash. The location of the buffer is application dependent but is typically heap allocated. Fixed in OpenSSL 1.1.1l (Affected 1.1.1-1.1.1k).",,0.030610000,['Fixed in OpenSSL 1.1.1l (Affected 1.1.1-1.1.1k)'],OpenSSL,OpenSSL,Non disponible,LOW
CERTFR-2023-AVI-0370,Multiples vulnérabilités dans les produits Siemens,,Avis,CVE-2022-40674,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0370/,libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.,,0.011260000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0381,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0381/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0382,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2022-43945,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0382/,The Linux kernel NFSD implementation prior to versions 5.19.17 and 6.0.2 are vulnerable to buffer overflow. NFSD tracks the number of pages held by each NFSD thread by combining the receive and send buffers of a remote procedure call (RPC) into a single array of pages. A client can force the send buffer to shrink by sending an RPC message over TCP with garbage data added at the end of the message. The RPC message with garbage data is still correctly formed according to the specification and is passed forward to handlers. Vulnerable code in NFSD is not expecting the oversized request and writes beyond the allocated buffer space. CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,0.001300000,['< 6.0.2'],linux_kernel,linux,CWE-131,LOW
CERTFR-2023-AVI-0385,Multiples vulnérabilités dans les produits VMware Tanzu,,Avis,CVE-2022-43552,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0385/,"A use after free vulnerability exists in curl <7.87.0. Curl can be asked to *tunnel* virtually all protocols it supports through an HTTP proxy. HTTP proxies can (and often do) deny such tunnel operations. When getting denied to tunnel the specific protocols SMB or TELNET, curl would use a heap-allocated struct after it had been freed, in its transfer shutdown code path.",,0.001510000,['Fixed in curl 7.87.0'],https://github.com/curl/curl,n/a,CWE-416,LOW
CERTFR-2023-AVI-0392,Multiples vulnérabilités dans le noyau Linux de DebianLTS,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0392/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0393,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2021-33655,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0393/,"When sending malicous data to kernel by ioctl cmd FBIOPUT_VSCREENINFO,kernel will write memory out of bounds.",,0.000420000,['5.18 5.19.0-rc1'],kernel,n/a,CWE-787,LOW
CERTFR-2023-AVI-0394,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-4139,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0394/,"An incorrect TLB flush issue was found in the Linux kernel’s GPU i915 kernel driver, potentially leading to random memory corruption or data leaks. This flaw could allow a local user to crash the system or escalate their privileges on the system.",,0.000420000,['kernel 6.1-rc7'],kernel,n/a,CWE-281,LOW
CERTFR-2023-AVI-0395,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2022-43945,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0395/,The Linux kernel NFSD implementation prior to versions 5.19.17 and 6.0.2 are vulnerable to buffer overflow. NFSD tracks the number of pages held by each NFSD thread by combining the receive and send buffers of a remote procedure call (RPC) into a single array of pages. A client can force the send buffer to shrink by sending an RPC message over TCP with garbage data added at the end of the message. The RPC message with garbage data is still correctly formed according to the specification and is passed forward to handlers. Vulnerable code in NFSD is not expecting the oversized request and writes beyond the allocated buffer space. CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,0.001300000,['< 6.0.2'],linux_kernel,linux,CWE-131,LOW
CERTFR-2023-AVI-0399,Multiples vulnérabilités dans les produits NetApp HCI,,Avis,CVE-2023-23000,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0399/,"In the Linux kernel before 5.17, drivers/phy/tegra/xusb.c mishandles the tegra_xusb_find_port_node return value. Callers expect NULL in the error case, but an error pointer is used.",,0.000440000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0411,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2023-0394,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0411/,A NULL pointer dereference flaw was found in rawv6_push_pending_frames in net/ipv6/raw.c in the network subcomponent in the Linux kernel. This flaw causes the system to crash.,,0.000210000,['Linux kernel prior to Kernel 6.2 RC4'],Kernel,n/a,CWE-476,LOW
CERTFR-2023-AVI-0417,Multiples vulnérabilités dans les produits Synology,,Avis,CVE-2022-3437,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0417/,"A heap-based buffer overflow vulnerability was found in Samba within the GSSAPI unwrap_des() and unwrap_des3() routines of Heimdal. The DES and Triple-DES decryption routines in the Heimdal GSSAPI library allow a length-limited write buffer overflow on malloc() allocated memory when presented with a maliciously small packet. This flaw allows a remote user to send specially crafted malicious data to the application, possibly resulting in a denial of service (DoS) attack.",,0.008670000,"['Fixed in samba 4.15.11, samba 4.16.6, samba 4.17.2.']",samba,n/a,CWE-122,LOW
CERTFR-2023-AVI-0418,Multiples vulnérabilités dans Zimbra,,Avis,CVE-2022-46364,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0418/,A SSRF vulnerability in parsing the href attribute of XOP:Include in MTOM requests in versions of Apache CXF before 3.5.5 and 3.4.10 allows an attacker to perform SSRF style attacks on webservices that take at least one parameter of any type. ,,0.040710000,"['0', '0']",Apache CXF,Apache Software Foundation,CWE-918,LOW
CERTFR-2023-AVI-0427,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-32221,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0427/,"When doing HTTP(S) transfers, libcurl might erroneously use the read callback (`CURLOPT_READFUNCTION`) to ask for data to send, even when the `CURLOPT_POSTFIELDS` option has been set, if the same handle previously was used to issue a `PUT` request which used that callback. This flaw may surprise the application and cause it to misbehave and either send off the wrong data or use memory after free or similar in the subsequent `POST` request. The problem exists in the logic for a reused handle when it is changed from a PUT to a POST.",,0.003460000,['Fixed in 7.86.0'],https://github.com/curl/curl,n/a,CWE-200,LOW
CERTFR-2023-AVI-0428,Multiples vulnérabilités dans les produits Splunk,,Avis,CVE-2022-30633,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0428/,Uncontrolled recursion in Unmarshal in encoding/xml before Go 1.17.12 and Go 1.18.4 allows an attacker to cause a panic due to stack exhaustion via unmarshalling an XML document into a Go struct which has a nested field that uses the 'any' field tag.,,0.002180000,"['0', '1.18.0-0']",encoding/xml,Go standard library,Non disponible,LOW
CERTFR-2023-AVI-0429,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-4139,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0429/,"An incorrect TLB flush issue was found in the Linux kernel’s GPU i915 kernel driver, potentially leading to random memory corruption or data leaks. This flaw could allow a local user to crash the system or escalate their privileges on the system.",,0.000420000,['kernel 6.1-rc7'],kernel,n/a,CWE-281,LOW
CERTFR-2023-AVI-0444,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2023-0216,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0444/,"An invalid pointer dereference on read can be triggered when an
application tries to load malformed PKCS7 data with the
d2i_PKCS7(), d2i_PKCS7_bio() or d2i_PKCS7_fp() functions.

The result of the dereference is an application crash which could
lead to a denial of service attack. The TLS implementation in OpenSSL
does not call this function however third party applications might
call these functions on untrusted data.

",,0.001870000,['3.0.0'],OpenSSL,OpenSSL,Non disponible,LOW
CERTFR-2023-AVI-0447,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2023-28464,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0447/,hci_conn_cleanup in net/bluetooth/hci_conn.c in the Linux kernel through 6.2.9 has a use-after-free (observed in hci_conn_hash_flush) because of calls to hci_dev_put and hci_conn_put. There is a double free that may lead to privilege escalation.,,0.000420000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0448,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2021-3669,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0448/,A flaw was found in the Linux kernel. Measuring usage of the shared memory does not scale with large shared memory segment counts which could lead to resource exhaustion and DoS.,,0.000420000,['Not Known'],kernel,n/a,CWE-400,LOW
CERTFR-2023-AVI-0449,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2022-3564,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0449/,A vulnerability classified as critical was found in Linux Kernel. Affected by this vulnerability is the function l2cap_reassemble_sdu of the file net/bluetooth/l2cap_core.c of the component Bluetooth. The manipulation leads to use after free. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-211087.,5.5,0.000450000,['n/a'],Kernel,Linux,CWE-119,MEDIUM
CERTFR-2023-AVI-0453,Multiples vulnérabilités dans les produits Siemens,,Avis,CVE-2022-2586,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0453/,"It was discovered that a nft object or expression could reference a nft set on a different nft table, leading to a use-after-free once that table was deleted.",5.3,0.009170000,['0'],linux,The Linux Kernel Organization,CWE-416,MEDIUM
